store_id,sku,product_name,price,expiry_date
STR00032,6f1d146a-c6a1-4809-99df-83f024ca9b56,Cheese - Pied De Vents,$175.45,12/26/2023
STR00032,663690e1-d94c-4aea-9041-957a290a67f0,Sambuca - Ramazzotti,$632.24,01/01/2024
STR00031,bd2f3349-abb9-4840-ae79-f7fcf583c84f,Tomatoes - Hot House,$51.60,01/03/2024
STR00033,912d65ed-006d-438d-b012-9d0299a695fa,Tea - Decaf Lipton,$754.40,03/02/2024
STR00031,bbde9195-e5d1-422e-ba57-7478b4060d57,Cheese - Pont Couvert,$990.33,04/29/2023
STR00032,c5e78f9e-a92b-4cb2-8713-f42700a95286,"Doilies - 5, Paper",$445.00,06/23/2023
STR00034,955aa28f-11f7-48de-85b0-dd89cd5f6281,Gherkin,$966.43,03/01/2023
STR00031,15279d73-cff9-4474-aada-14e2a693ba9a,"Artichoke - Bottom, Canned",$228.73,02/07/2024
STR00031,48b06668-c283-4c38-b154-9422aaebd3c9,Pastry - Choclate Baked,$834.93,02/27/2023
STR00031,9bf420a2-4176-488c-ab48-5fe09203c5c9,Dried Apple,$519.85,11/29/2023
STR00035,4e24adb6-579a-4d84-acc7-2b67fe3bef8d,"Chicken - Base, Ultimate",$895.10,08/30/2023
STR00031,904ffada-2a0e-479d-98fb-911913f218af,Wine - Ruffino Chianti,$760.33,01/12/2024
STR00032,8e25f29b-880b-4a23-beac-197950ac9cde,"Crab - Claws, Snow 16 - 24",$970.26,06/24/2023
STR00031,2198b243-44c7-4f32-9a91-a0176796781a,Emulsifier,$757.83,12/08/2023
STR00032,3e4e47a5-0e51-4897-9de6-6e872e458d44,Bread - Bistro White,$180.88,07/14/2023
STR00031,3126567e-123d-4416-b456-cedf7c589025,Flavouring Vanilla Artificial,$512.76,01/31/2024
STR00031,afd2300f-a6e2-4899-9a43-8aed5c5355e8,"Star Anise, Whole",$807.33,01/16/2024
STR00031,6817e9d3-646a-459b-b82a-fed194d88d1e,"Beef - Rib Roast, Cap On",$992.40,01/24/2024
STR00032,db18bbb9-c449-4b26-a839-c4fd3f1045d5,Bok Choy - Baby,$37.06,01/16/2024
STR00035,b1d148b7-2330-4f24-9863-94144a2d486a,Sweet Pea Sprouts,$161.61,11/20/2023
STR00031,14923646-149f-4518-9221-c081c50ff45e,Muffin - Mix - Creme Brule 15l,$35.79,06/03/2023
STR00031,7fc752a5-5b7c-42a5-a214-2cf5bf4b3e07,Lemonade - Pineapple Passion,$308.05,04/04/2023
STR00032,d18f5cd8-ddfe-4838-a797-d796df1af0e3,"Syrup - Monin, Amaretta",$643.70,04/09/2023
STR00032,f6d7e52b-3b68-4bd2-b665-a933db43a3fa,"Doilies - 10, Paper",$253.78,05/06/2023
